sampleID,genotype,stage
SB_1,B0,Myoblast
SB_3,B0,Myotube
SB_4,B0,Myotube
SB_5,B2,Myoblast
SB_6,B2,Myoblast
SB_7,B2,Myotube
SB_8,B2,Myotube
