gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSMUSG00000099183.1,0.9927559,1.6661140158933698,3.130410361260597,0.5322350182940349,0.5945632321253334,NA,Gm27881
ENSMUSG00000065559.1,62.584267,0.3275690721620969,0.4039925993673627,0.810829388149827,0.4174636551644859,0.5854219028748626,Mir206
ENSMUSG00000065480.1,0.31726682,-0.11762571144039913,4.795515394438091,-0.024528273139696966,0.9804312317915219,NA,Mir133b
ENSMUSG00000065405.3,11720.001,-0.5368023351571519,0.13416422675451573,-4.001083956152895,6.305297960263476e-05,0.0002576943104104821,Mir30a
ENSMUSG00000065567.1,615.3176,-1.0089458765584642,0.19531146749913963,-5.165830196646844,2.393740336966944e-07,1.2848034869842986e-06,Mir30c-2
ENSMUSG00000105982.1,2.8655148,0.6161587690337582,1.7401939161606803,0.35407477483495886,0.7232828458647244,NA,Mir6896
ENSMUSG00000092852.1,2.3826575,-0.09114906670429503,1.7449416837126854,-0.05223616786456643,0.9583405144713452,NA,Mir5103
ENSMUSG00000098752.1,25.493462,-0.22496375134268715,0.5760384217236348,-0.39053601783982683,0.6961402271040611,0.8173432130730718,Mir6897
ENSMUSG00000098680.1,1.7042743,-2.0259404503235108,2.258239521541754,-0.8971326694966144,0.36964812787842605,NA,Mir6898
ENSMUSG00000106081.1,0.42621887,2.2624741827638344,5.275381924461923,0.42887400668997094,0.668014917500808,NA,Gm47280
ENSMUSG00000098487.1,2.3123822,0.19007014443579673,1.8855629481908855,0.10080286347276851,0.919706953699301,NA,Mir6899
ENSMUSG00000065468.1,13638.5625,-0.4127991609040993,0.3248507370787839,-1.2707348753959755,0.20382298402974197,0.35319031579906707,Mir26b
ENSMUSG00000065616.3,518.63605,-1.470523602283895,0.34121510630468194,-4.309667347994895,1.6350029558991323e-05,7.413892713818479e-05,Mir375
ENSMUSG00000093782.1,2.9451609,-0.4685992304666273,1.8047743276399453,-0.259644224372031,0.7951382197696003,NA,Gm22396
ENSMUSG00000093254.1,6.8931327,0.41209503499114075,1.20428386915114,0.34219094479909706,0.7322071993611501,0.8378429839238317,Mir5126
ENSMUSG00000104627.1,192.19711,-0.6912056254035025,0.10033823452512453,-6.888756102544597,5.628233751579937e-12,4.229215647615781e-11,mmu-mir-3535
ENSMUSG00000098288.1,38.746403,0.7900796670505725,0.23303411794444168,3.390403405388638,0.0006978984404644698,0.0024637220113041015,Mir6900
ENSMUSG00000065470.1,64609.062,0.5559986293147633,0.1155823395924361,4.810411618897086,1.5061979324689528e-06,7.404300116623077e-06,Mir149
ENSMUSG00000098997.1,0.52558166,-2.633563771547856,4.511505739116686,-0.5837438593314269,0.5593926542689298,NA,Mir6901
ENSMUSG00000106302.1,0.511038,-0.5878325352592358,4.005743642373116,-0.14674741764327862,0.8833313898554118,NA,Mir6902
ENSMUSG00000065520.2,35351.383,-0.4350603883256485,0.2055254900116953,-2.116819613474181,0.03427516010216083,0.08121051447629096,Mir128-1
ENSMUSG00000065435.1,367.74646,0.6326610680481328,0.2523759878433483,2.5068195807947875,0.01218228758351916,0.03269328198434223,Mir135b
ENSMUSG00000098606.1,6.213363,1.2219478163886655,1.1465920773438336,1.065721489389146,0.2865495604530881,0.4581309082015938,Mir6903
ENSMUSG00000093515.1,25.904352,0.48438773027159826,0.5840112831407122,0.8294150203171494,0.4068696050000462,0.5784146276487143,Mir1231
ENSMUSG00000065565.1,2020.1648,0.7835600843944717,0.11908785099330066,6.579681116577972,4.714582980179473e-11,3.35117655077622e-10,Mir181a-1
ENSMUSG00000065458.1,60.887405,0.30669083276135867,0.4169965456749874,0.7354757154281022,0.46204982447454246,0.6271136687008817,Mir181b-1
ENSMUSG00000106406.1,6.902242,2.8200941949530267,1.2923021718681802,2.182225068055281,0.02909292606715378,0.07084666255242078,Mir7682
ENSMUSG00000099227.1,91.29387,0.016294236559458993,0.32799580819508406,0.049678185368050715,0.9603788405452086,0.98017583636337,Mir8114
ENSMUSG00000070103.2,888.62,0.49542110270326534,0.20314026151834388,2.438812961056113,0.014735592957839124,0.038440973644837645,Mir488
ENSMUSG00000105399.1,2293.424,-0.9405419653179173,0.12974914210250396,-7.248926274787032,4.200884582569829e-13,3.6224021154618523e-12,Mir1843b
ENSMUSG00000089204.1,4.6816354,0.26655642660262613,1.2754797932710598,0.2089852210978764,0.8344597757443006,0.9012850965944602,Mir1927
ENSMUSG00000070126.1,0.408781,1.9407617368786922,5.004178943577328,0.38782820493851156,0.698143171491719,NA,Mir199a-2
ENSMUSG00000065516.1,168.55185,0.2544568116037901,0.2750384497304507,0.9251681423203503,0.35487845202946156,0.5318121531837515,Mir214
ENSMUSG00000088246.1,1.022076,-0.983108880420496,2.9662681467999534,-0.33142953764348176,0.7403200566502186,NA,Gm25911
ENSMUSG00000099119.1,3.9745333,3.0837010826724756,1.6701480112328388,1.8463639521363178,0.06483937765736196,0.13977669117939504,Mir6546
ENSMUSG00000065573.1,612.81006,0.03712117968859049,0.0551772217618056,0.6727627543271172,0.5010982366221499,0.6717250937495732,Mir350
ENSMUSG00000098926.1,0.14207296,1.190691741941675,5.3982350248591455,0.22057056361171368,0.825426823385274,NA,Mir6904
ENSMUSG00000088559.1,1922.3687,-0.38801207191260717,0.1332519816736198,-2.911867178553359,0.00359275370704246,0.011116402646496082,Mir1981
ENSMUSG00000105770.1,880.69775,-1.1404235630866884,0.0709053916627754,-16.083735472621314,3.3175717182117724e-58,9.694681798774401e-57,Mir664
