gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSMUSG00000099183.1,0.0,NA,NA,NA,NA,NA,Gm27881
ENSMUSG00000065559.1,52.16652,0.8113235607042143,0.288889739971364,2.8084194363726316,0.00497853373796703,0.013577819285364627,Mir206
ENSMUSG00000065480.1,0.0,NA,NA,NA,NA,NA,Mir133b
ENSMUSG00000065405.3,8983.991,-0.32731119780572326,0.05821769580906347,-5.622194304618403,1.8854701960677753e-08,9.33582330091811e-08,Mir30a
ENSMUSG00000065567.1,505.41895,-1.4958897399572455,0.16220337209106153,-9.222309750240258,2.90768099033345e-20,2.6962132819455627e-19,Mir30c-2
ENSMUSG00000105982.1,1.4255803,3.650173980733564,3.061144412089396,1.1924213592530655,0.2330960693146229,NA,Mir6896
ENSMUSG00000092852.1,1.2198226,1.2538882449360005,2.6395103815327827,0.4750457712569626,0.634754349498508,NA,Mir5103
ENSMUSG00000098752.1,30.544144,-0.2276098728420954,0.2521852671016886,-0.902550237997513,0.3667646470295315,0.5153616694915303,Mir6897
ENSMUSG00000098680.1,3.655043,1.3761440935898692,1.476015546400976,0.932337126763585,0.3511623263934337,0.5044867224243695,Mir6898
ENSMUSG00000106081.1,0.0,NA,NA,NA,NA,NA,Gm47280
ENSMUSG00000098487.1,3.239173,1.8101005432026893,1.498197884213535,1.2081852219093772,0.226976024845438,0.3583831971243758,Mir6899
ENSMUSG00000065468.1,10882.751,-0.487200765381545,0.2509304431876016,-1.9415769533284648,0.052188335143410564,0.10775729118679914,Mir26b
ENSMUSG00000065616.3,609.0322,-0.5857856361834093,0.07244777827549721,-8.085625951921422,6.184572612758705e-16,4.928331300792093e-15,Mir375
ENSMUSG00000093782.1,0.86930335,2.9537982764452484,3.4175709175982476,0.8642975808446653,0.38742443877446964,NA,Gm22396
ENSMUSG00000093254.1,5.9796443,1.8481276173165948,1.1034692814168376,1.6748337705818392,0.09396685096464645,0.1755424688350538,Mir5126
ENSMUSG00000104627.1,189.83745,-0.7831428405487205,0.2490947372129942,-3.1439557869063943,0.0016668062101380455,0.005030006906333747,mmu-mir-3535
ENSMUSG00000098288.1,33.549515,-0.12433601628356049,0.4896774163556287,-0.2539141323055449,0.7995618965201401,0.8807269270524222,Mir6900
ENSMUSG00000065470.1,48445.53,0.6219510077918191,0.05260422366842295,11.823214267206483,2.9613311470795407e-32,4.576602681850199e-31,Mir149
ENSMUSG00000098997.1,0.2781385,1.225481331336246,5.315550750172741,0.23054644550170483,0.8176671770241476,NA,Mir6901
ENSMUSG00000106302.1,1.0607045,3.2873087450259932,3.2646409918947437,1.0069434137436635,0.3139619677101769,NA,Mir6902
ENSMUSG00000065520.2,29522.492,-0.07543798740916166,0.18594496855206238,-0.40570061129693824,0.684962593065978,0.7939339146901108,Mir128-1
ENSMUSG00000065435.1,238.43773,0.7951806491449392,0.16092427596627346,4.9413343286478,7.758972969034618e-07,3.382116422399706e-06,Mir135b
ENSMUSG00000098606.1,1.1143038,-0.2766500709967041,2.46008257579541,-0.11245560361210873,0.910462169569217,NA,Mir6903
ENSMUSG00000093515.1,22.940012,0.7354279240928174,0.5187025203825756,1.4178221527637715,0.15624269482571845,0.2719582742700219,Mir1231
ENSMUSG00000065565.1,1965.2891,1.339206239910845,0.05274859367163239,25.388472880388,3.3810069073995835e-142,2.873855871289646e-140,Mir181a-1
ENSMUSG00000065458.1,53.627632,0.5744112404827392,0.37613690368658964,1.527133431611801,0.12672783521804232,0.22757463366620276,Mir181b-1
ENSMUSG00000106406.1,3.9977472,3.716792578082709,1.8412820781162926,2.018589450392707,0.043529908424790806,0.09056471323728064,Mir7682
ENSMUSG00000099227.1,69.257225,-0.048404202299512936,0.333782678294252,-0.14501711876384837,0.884697355845564,0.9341900737044937,Mir8114
ENSMUSG00000070103.2,774.3462,0.6169820077880857,0.07842670783456841,7.866988489297983,3.632800542697535e-15,2.646754681108204e-14,Mir488
ENSMUSG00000105399.1,2037.0347,-0.9954979670457662,0.11959755635218072,-8.32373166650921,8.523644345547165e-17,7.126325600375498e-16,Mir1843b
ENSMUSG00000089204.1,3.989831,0.30146556498919624,1.3678973686351905,0.22038609906091222,0.8255704706303417,0.8939298089627904,Mir1927
ENSMUSG00000070126.1,2.3253858,0.6773469897922981,1.7408930333249064,0.3890801886309137,0.6972168282969011,NA,Mir199a-2
ENSMUSG00000065516.1,139.91696,-0.43233585125406426,0.19068748179686815,-2.267248207276735,0.023375067436926567,0.05283028727075428,Mir214
ENSMUSG00000088246.1,1.6535491,-2.893619017646915,2.307675794341866,-1.253910547028187,0.2098745210267634,NA,Gm25911
ENSMUSG00000099119.1,3.2679954,3.4660005153311246,1.9640766697259797,1.7646971570690708,0.07761467664611282,0.14937164184723598,Mir6546
ENSMUSG00000065573.1,633.62427,0.2632851907593664,0.15941047928567123,1.6516178355348063,0.09861248181195527,0.18288132990580797,Mir350
ENSMUSG00000098926.1,0.0,NA,NA,NA,NA,NA,Mir6904
ENSMUSG00000088559.1,1508.3317,-0.7528838825276942,0.06971734956786507,-10.79908928257253,3.47634459682288e-27,4.3242335228772406e-26,Mir1981
ENSMUSG00000105770.1,695.2938,-1.2640966817890376,0.12187280396225983,-10.372262233176224,3.3158053205088354e-25,3.843319803317059e-24,Mir664
ENSMUSG00000065581.1,0.15651318,0.8046935539497843,5.374795370894402,0.14971612841436935,0.880988582971155,NA,Mir194-1
ENSMUSG00000065562.1,0.99092865,3.117813295235971,3.3461450754981623,0.9317627373857369,0.3514591558140864,NA,Mir215
